Ship Size (TEU),TEU avg,TEU to weight lbs,TEU to weight - tons,Speed- Knots,Fuel Consumption - Tons per Day,Speed-MPH,Ton miles per hour,Fuel Consumption - Gallons per day,Fuel Consumption- Gallons/hour,MPG,Gallons per mile,Ton MPG,Ton MPG cleaner
"10,000+",10000.00,529100000.00,264550.00,17.48,103.56,20.10257602,13160.00495,77468.63057,3227.859607,0.006227835,160.5694516,4.07700661,4.08
"10,000+",10000.00,529100000.00,264550.00,17.55,105.62,20.18588943,13105.68954,79011.10832,3292.129514,0.00613156,163.0906344,3.98091554,3.98
"10,000+",10000.00,529100000.00,264550.00,17.66,108.71,20.30487832,13028.88871,81322.855,3388.452292,0.005992375,166.8787293,3.845085482,3.85
"10,000+",10000.00,529100000.00,264550.00,17.74,109.77,20.40036622,12967.90446,82111.82351,3421.325979,0.005962708,167.7090471,3.790315373,3.79
"10,000+",10000.00,529100000.00,264550.00,17.79,110.81,20.45996665,12930.1286,82888.97226,3453.707177,0.005924059,168.8031675,3.743840442,3.74
"10,000+",10000.00,529100000.00,264550.00,17.85,113.88,20.53110559,12885.32655,85184.95926,3549.373303,0.005784431,172.8778456,3.630310326,3.63
"10,000+",10000.00,529100000.00,264550.00,17.93,114.93,20.614631,12833.11838,85969.98785,3582.082827,0.005754929,173.7641012,3.582585607,3.58
"10,000+",10000.00,529100000.00,264550.00,18.02,115.99,20.72208139,12766.5747,86762.89628,3615.120678,0.005732058,174.4574114,3.531438045,3.53
"10,000+",10000.00,529100000.00,264550.00,18.14,118.07,20.86520724,12679.00179,88325.07362,3680.211401,0.005669568,176.3802947,3.44518301,3.45
"10,000+",10000.00,529100000.00,264550.00,18.24,120.15,20.97244563,12614.17026,89875.43121,3744.809634,0.005600404,178.5585573,3.368440988,3.37
"10,000+",10000.00,529100000.00,264550.00,18.33,122.22,21.07968402,12549.99837,91425.7888,3809.407867,0.005533585,180.714657,3.294474838,3.29
"10,000+",10000.00,529100000.00,264550.00,18.41,125.3,21.17474793,12493.65522,93729.65564,3905.402318,0.005421912,184.4367797,3.199069955,3.20
"10,000+",10000.00,529100000.00,264550.00,18.52,127.38,21.29394881,12423.71729,95283.95315,3970.164715,0.005363493,186.4456776,3.129269988,3.13
"10,000+",10000.00,529100000.00,264550.00,18.6,129.44,21.38922471,12368.37724,96830.37082,4034.598784,0.00530145,188.6276309,3.065577991,3.07
"10,000+",10000.00,529100000.00,264550.00,18.72,131.53,21.53235056,12286.16445,98392.54817,4099.689507,0.005252191,190.3967472,2.996852428,3.00
"10,000+",10000.00,529100000.00,264550.00,18.8,134.61,21.61545198,12238.92983,100692.4751,4195.519795,0.005152032,194.0981756,2.917142673,2.92
"10,000+",10000.00,529100000.00,264550.00,18.91,137.7,21.74640335,12165.23007,103008.1617,4292.006737,0.005066722,197.3662802,2.83439212,2.83
"10,000+",10000.00,529100000.00,264550.00,18.99,139.77,21.84167926,12112.16394,104554.5794,4356.440806,0.005013652,199.4553969,2.780288883,2.78
"10,000+",10000.00,529100000.00,264550.00,19.08,141.84,21.93695516,12059.55877,106100.997,4420.874876,0.00496213,201.526367,2.727867019,2.73
"10,000+",10000.00,529100000.00,264550.00,19.2,144.94,22.07986902,11981.50223,108420.6235,4517.525981,0.004887602,204.5993107,2.652226525,2.65
"10,000+",10000.00,529100000.00,264550.00,19.27,147,22.16318244,11936.46268,109963.1013,4581.795887,0.004837226,206.7300533,2.605193023,2.61
"10,000+",10000.00,529100000.00,264550.00,19.39,151.11,22.29392181,11866.46308,113036.2371,4709.84321,0.004733474,211.2613137,2.519502783,2.52
"10,000+",10000.00,529100000.00,264550.00,19.51,153.2,22.43704766,11790.76695,114598.4144,4774.933933,0.004698923,212.8147163,2.469304731,2.47
"10,000+",10000.00,529100000.00,264550.00,19.63,158.32,22.57953753,11716.36043,118432.9392,4934.705802,0.00457566,218.5476914,2.374277393,2.37
"10,000+",10000.00,529100000.00,264550.00,19.77,161.43,22.73441387,11636.54368,120756.5057,5031.521069,0.004518398,221.3173868,2.312728799,2.31
"10,000+",10000.00,529100000.00,264550.00,19.86,164.51,22.84144027,11582.01921,123064.3124,5127.679684,0.004454537,224.4902083,2.258725179,2.26
"10,000+",10000.00,529100000.00,264550.00,20.01,167.62,23.0082791,11498.03507,125391.8188,5224.659115,0.004403786,227.077353,2.200724452,2.20
"10,000+",10000.00,529100000.00,264550.00,20.09,171.72,23.10313102,11450.82888,128453.1348,5352.213949,0.004316556,231.6661731,2.139456493,2.14
"10,000+",10000.00,529100000.00,264550.00,20.19,174.81,23.2221199,11392.15546,130764.8814,5448.536727,0.004262084,234.6270173,2.090865131,2.09
"10,000+",10000.00,529100000.00,264550.00,20.3,177.9,23.34110878,11334.08025,133076.6281,5544.859505,0.004209504,237.5576737,2.04406987,2.04
"10,000+",10000.00,529100000.00,264550.00,20.38,179.97,23.43638469,11288.00382,134623.0458,5609.293575,0.004178135,239.3412486,2.012375297,2.01
"10,000+",10000.00,529100000.00,264550.00,20.51,185.1,23.59083704,11214.09976,138461.5106,5769.229606,0.004089079,244.5538323,1.943777684,1.94
"10,000+",10000.00,529100000.00,264550.00,20.61,188.18,23.69786344,11163.45365,140769.3173,5865.388221,0.004040289,247.5070479,1.903276173,1.90
"10,000+",10000.00,529100000.00,264550.00,20.72,191.28,23.82881481,11102.10483,143085.0039,5961.875163,0.003996866,250.1960425,1.862183378,1.86
"10,000+",10000.00,529100000.00,264550.00,20.84,195.39,23.97151667,11036.01427,146162.0796,6090.086649,0.003936154,254.0551243,1.812127627,1.81
"10,000+",10000.00,529100000.00,264550.00,20.96,200.51,24.10204406,10976.24746,149992.6645,6249.694354,0.003856516,259.3014244,1.756285483,1.76
"10,000+",10000.00,529100000.00,264550.00,21.07,203.61,24.23299543,10916.93352,152308.3511,6346.181296,0.003818516,261.8818344,1.720236628,1.72
"10,000+",10000.00,529100000.00,264550.00,21.21,208.74,24.38744778,10847.7936,156146.8159,6506.117327,0.003748387,266.7813945,1.667322161,1.67
"10,000+",10000.00,529100000.00,264550.00,21.32,210.82,24.51861115,10789.76286,157705.0533,6571.043887,0.003731311,268.002288,1.642016557,1.64
"10,000+",10000.00,529100000.00,264550.00,21.41,216.94,24.62500156,10743.14653,162285.2075,6761.883647,0.003641737,274.5942423,1.588780152,1.59
"10,000+",10000.00,529100000.00,264550.00,21.55,221.06,24.77966591,10676.09228,165366.2231,6890.259297,0.003596333,278.0610248,1.5494471,1.55
"10,000+",10000.00,529100000.00,264550.00,21.67,225.18,24.92236778,10614.96252,168443.2988,7018.470783,0.003550968,281.6133221,1.512432388,1.51
"10,000+",10000.00,529100000.00,264550.00,21.79,230.3,25.05289516,10559.65781,172273.8837,7178.078489,0.003490195,286.5169252,1.471098125,1.47
"10,000+",10000.00,529100000.00,264550.00,21.92,235.43,25.20734751,10494.95588,176112.3485,7338.01452,0.003435173,291.1061751,1.430217377,1.43
"10,000+",10000.00,529100000.00,264550.00,22.03,238.52,25.33829888,10440.71669,178428.0351,7434.501462,0.003408204,293.4096521,1.404360029,1.40
"10,000+",10000.00,529100000.00,264550.00,22.19,245.69,25.51625223,10367.9019,183789.278,7657.886584,0.003332023,300.1179999,1.353885538,1.35
"10,000+",10000.00,529100000.00,264550.00,22.32,251.84,25.67049259,10305.60668,188385.1919,7849.382997,0.003270383,305.7745374,1.312919332,1.31
"10,000+",10000.00,529100000.00,264550.00,22.43,255.94,25.78926948,10258.14245,191454.3878,7977.266157,0.003232846,309.3250146,1.28592205,1.29
"10,000+",10000.00,529100000.00,264550.00,22.56,260.06,25.94393383,10196.9887,194535.4034,8105.641807,0.003200725,312.4291736,1.258011264,1.26
"10,000+",10000.00,529100000.00,264550.00,22.69,266.2,26.09817419,10136.72443,199131.3173,8297.13822,0.003145443,317.920256,1.221713338,1.22
"10,000+",10000.00,529100000.00,264550.00,22.82,271.33,26.24066406,10081.68084,202965.8421,8456.910089,0.003102867,322.2826248,1.192123451,1.19
"10,000+",10000.00,529100000.00,264550.00,22.95,276.46,26.39511642,10022.68737,206804.3069,8616.84612,0.003063199,326.4560756,1.163150326,1.16
"10,000+",10000.00,529100000.00,264550.00,23.07,282.59,26.5254318,9973.447445,211392.341,8808.014208,0.003011511,332.0592205,1.132315095,1.13
"10,000+",10000.00,529100000.00,264550.00,23.21,288.74,26.69163465,9911.345014,215992.1948,8999.674784,0.002965844,337.1721103,1.101300353,1.10
"10,000+",10000.00,529100000.00,264550.00,23.33,294.88,26.83391253,9858.793409,220584.1688,9191.007035,0.002919584,342.5146081,1.072656497,1.07
"10,000+",10000.00,529100000.00,264550.00,23.45,297.97,26.9648639,9810.915456,222899.8554,9287.493976,0.002903352,344.4294772,1.056357666,1.06
"10,000+",10000.00,529100000.00,264550.00,23.58,305.13,27.11889227,9755.191966,228253.2185,9510.550771,0.002851453,350.69835,1.025723136,1.03
"10,000+",10000.00,529100000.00,264550.00,23.71,312.28,27.26095815,9704.35443,233602.6417,9733.443404,0.002800752,357.0470029,0.997011441,1.00
"10,000+",10000.00,529100000.00,264550.00,23.83,316.4,27.40366001,9653.819961,236679.7174,9861.65489,0.002778809,359.8663421,0.978924944,0.98
"10,000+",10000.00,529100000.00,264550.00,23.95,321.52,27.54614988,9603.88298,240514.2422,10021.42676,0.002748725,363.8049891,0.958334897,0.96
"10,000+",10000.00,529100000.00,264550.00,24.08,327.66,27.68842776,9554.533117,245106.2162,10212.75901,0.00271116,368.8457538,0.935548671,0.94
"10,000+",10000.00,529100000.00,264550.00,24.2,334.81,27.83049364,9505.760243,250455.6394,10435.65164,0.002666867,374.9718483,0.910892829,0.91
"10,000+",10000.00,529100000.00,264550.00,24.3,338.91,27.94927053,9465.363317,253524.8352,10563.5348,0.002645826,377.9538643,0.896041287,0.90
"10,000+",10000.00,529100000.00,264550.00,24.4,345.04,28.05566095,9429.469527,258104.9895,10754.37456,0.002608767,383.3228018,0.876803153,0.88
"10,000+",10000.00,529100000.00,264550.00,24.52,349.15,28.19836281,9381.750344,261182.0652,10882.58605,0.002591145,385.9297123,0.862088322,0.86
"10,000+",10000.00,529100000.00,264550.00,24.61,354.26,28.30496522,9346.416713,265004.7702,11041.86543,0.002563422,390.1034797,0.846452692,0.85
"10,000+",10000.00,529100000.00,264550.00,24.72,360.39,28.42331813,9307.498822,269588.8644,11232.86935,0.00253037,395.1990862,0.82859495,0.83
"10,000+",10000.00,529100000.00,264550.00,24.8,363.47,28.51838204,9276.472965,271892.7313,11328.8638,0.002517321,397.2477747,0.818835245,0.82
"10,000+",10000.00,529100000.00,264550.00,24.86,366.54,28.58952097,9253.390439,274188.7183,11424.52993,0.002502468,399.6055036,0.80995809,0.81
"10,000+",10000.00,529100000.00,264550.00,24.92,370.62,28.66044792,9230.49077,277242.1544,11551.75643,0.002481047,403.0556838,0.799055176,0.80
9000-10000x,9500.00,502645000.00,251322.50,17.47,83.3,20.0948534,12506.80933,62315.70733,2596.487805,0.007739244,129.2115824,4.816818052,4.82
9000-10000x,9500.00,502645000.00,251322.50,17.56,85.37,20.1901293,12447.79052,63862.125,2660.921875,0.007587645,131.7932062,4.677999242,4.68
9000-10000x,9500.00,502645000.00,251322.50,17.66,87.45,20.30933018,12374.73111,65416.42251,2725.684271,0.007451094,134.208477,4.540045684,4.54
9000-10000x,9500.00,502645000.00,251322.50,17.75,89.52,20.41656857,12309.73261,66966.7801,2790.282504,0.007317026,136.6675548,4.411643838,4.41
9000-10000x,9500.00,502645000.00,251322.50,17.84,90.58,20.51205647,12252.42824,67755.74861,2823.156192,0.007265647,137.6339908,4.339975336,4.34
9000-10000x,9500.00,502645000.00,251322.50,17.94,91.64,20.63146934,12181.51242,68552.59695,2856.358206,0.007222998,138.446669,4.264700553,4.26
9000-10000x,9500.00,502645000.00,251322.50,18.04,93.72,20.75067022,12111.53651,70106.89446,2921.120603,0.007103668,140.7723496,4.146195299,4.15
9000-10000x,9500.00,502645000.00,251322.50,18.14,93.77,20.85833259,12049.0216,70142.35372,2922.598072,0.007136915,140.1165725,4.122709078,4.12
9000-10000x,9500.00,502645000.00,251322.50,18.23,96.85,20.96535899,11987.51236,72450.16048,3018.756687,0.006945031,143.9878367,3.97100979,3.97
9000-10000x,9500.00,502645000.00,251322.50,18.34,97.92,21.09673435,11912.86271,73250.94874,3052.122864,0.006912151,144.6727638,3.90313996,3.90
9000-10000x,9500.00,502645000.00,251322.50,18.42,98.97,21.18025976,11865.88374,74035.97733,3084.832389,0.006865935,145.6465796,3.846524624,3.85
9000-10000x,9500.00,502645000.00,251322.50,18.5,101.04,21.27553566,11812.74606,75582.395,3149.266458,0.006755712,148.0228986,3.7509516,3.75
9000-10000x,9500.00,502645000.00,251322.50,18.62,104.14,21.41844952,11733.92592,77902.02151,3245.917563,0.006598581,151.5477374,3.614979645,3.61
9000-10000x,9500.00,502645000.00,251322.50,18.73,105.21,21.53786239,11668.86924,78698.86985,3279.119577,0.006568185,152.2490727,3.558537275,3.56
9000-10000x,9500.00,502645000.00,251322.50,18.81,107.27,21.63313829,11617.47762,80245.28752,3343.553647,0.006470104,154.557032,3.474589867,3.47
9000-10000x,9500.00,502645000.00,251322.50,18.89,109.34,21.7284142,11566.53669,81791.7052,3407.987717,0.006375731,156.8447511,3.393949054,3.39
9000-10000x,9500.00,502645000.00,251322.50,19.01,112.44,21.85936557,11497.24585,84107.39179,3504.474658,0.006237558,160.3191386,3.280733054,3.28
9000-10000x,9500.00,502645000.00,251322.50,19.1,114.51,21.96660396,11441.11764,85657.74938,3569.072891,0.006154709,162.4772267,3.20562734,3.21
9000-10000x,9500.00,502645000.00,251322.50,19.23,116.6,22.10972981,11367.05433,87219.92672,3634.163614,0.006083856,164.3694267,3.127832299,3.13
9000-10000x,9500.00,502645000.00,251322.50,19.31,118.66,22.20500571,11318.28126,88766.3444,3698.597683,0.006003628,166.5659415,3.060154748,3.06
9000-10000x,9500.00,502645000.00,251322.50,19.41,120.74,22.32420659,11257.8469,90320.64191,3763.360079,0.005931988,168.5775512,2.991434959,2.99
9000-10000x,9500.00,502645000.00,251322.50,19.51,122.81,22.43144498,11204.02632,91870.9995,3827.958312,0.005859898,170.6514367,2.926893505,2.93
9000-10000x,9500.00,502645000.00,251322.50,19.62,124.9,22.56260834,11138.89388,93429.23692,3892.884872,0.005795858,172.5370052,2.861346854,2.86
9000-10000x,9500.00,502645000.00,251322.50,19.72,126.97,22.68180922,11080.35508,94983.53443,3957.647268,0.005731135,174.4855196,2.799732854,2.80
9000-10000x,9500.00,502645000.00,251322.50,19.82,129.05,22.78904761,11028.21427,96533.89202,4022.245501,0.005665753,176.4990609,2.741805358,2.74
9000-10000x,9500.00,502645000.00,251322.50,19.91,132.13,22.89607401,10976.66351,98841.69878,4118.404116,0.005559453,179.8738122,2.665271109,2.67
9000-10000x,9500.00,502645000.00,251322.50,19.99,134.2,22.99134991,10931.17633,100388.1165,4182.838185,0.005496591,181.9309524,2.61333952,2.61
9000-10000x,9500.00,502645000.00,251322.50,20.1,137.29,23.11033879,10874.89466,102699.8631,4279.160964,0.005400671,185.1621909,2.541361439,2.54
