MSN,YYYYMM,Value,Column_Order,Description,Unit,Avg weight hauled - lbs,Source/Notes:,Avg weight/tons
TRFRRUS,194913,9,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,https://www.freightwaves.com/news/how-much-weight-can-a-big-rig-carry,22
TRFRRUS,195013,8.4,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,195113,8.5,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,195213,8.4,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,195313,8.5,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,195413,8.3,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,195513,8.2,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,195613,8,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,195713,8.3,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,195813,8.3,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,195913,8.1,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,196013,8,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,196113,7.9,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,196213,7.9,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,196313,7.5,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,196413,7.5,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,196513,7.8,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,196613,5.6,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,196713,5.6,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,196813,5.5,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,196913,5.5,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,197013,5.5,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,197113,5.6,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,197213,5.6,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,197313,5.5,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,197413,5.5,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,197513,5.6,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,197613,5.6,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,197713,5.6,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,197813,5.5,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,197913,5.5,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,198013,5.4,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,198113,5.3,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,198213,5.5,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,198313,5.6,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,198413,5.7,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,198513,5.8,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,198613,5.8,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,198713,5.9,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,198813,6,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,198913,6.1,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,199013,6,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,199113,6,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,199213,6,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,199313,6.1,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,199413,6.1,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,199513,6.1,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,199613,6.2,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,199713,6.4,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,199813,6.1,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,199913,6,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,200013,5.8,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,200113,5.9,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,200213,5.8,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,200313,6.7,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,200413,6.7,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,200513,6,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,200613,5.9,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,200713,6.4,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,200813,6.5,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,200913,6.5,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,201013,6.4,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,201113,6.3,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,201213,6.4,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,201313,6.4,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,201413,6.3,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,201513,6.4,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,201613,6.4,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,201713,6.5,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,201813,6.6,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
TRFRRUS,201913,6.6,9,Heavy-Duty Trucks Fuel Economy,Miles per Gallon,44000,,22
